Source,Target,PValue
Ehf,Creb3l4,0.0
Ehf,Myo6,0.0
Ehf,Smagp,0.0
2010001M06Rik,Lass6,0.0
9130017N09Rik,Lass6,0.0
Ano9,Lass6,0.0
Chmp4c,Lass6,0.0
Ckmt1,Lass6,0.0
Coro2a,Lass6,0.0
Creb3l4,Degs2,0.0
Creb3l4,Edn2,0.0
Creb3l4,Elovl7,0.0
Creb3l4,Erbb2,0.0
Creb3l4,Fgfbp1,0.0
Creb3l4,Galnt12,0.0
Creb3l4,Galnt3,0.0
Creb3l4,Galnt6,0.0
Creb3l4,Galnt7,0.0
Creb3l4,Gipc2,0.0
Creb3l4,Glod5,0.0
Creb3l4,Gmds,0.0
Creb3l4,Golm1,0.0
Creb3l4,Golph3l,0.0
Creb3l4,Gpa33,0.0
Creb3l4,Gpx2,0.0
Creb3l4,Heph,0.0
Creb3l4,Kcnn4,0.0
Creb3l4,L1cam,0.0
Creb3l4,Mfsd4,0.0
Creb3l4,Mgat4a,0.0
Creb3l4,Mgst3,0.0
Creb3l4,Mpi,0.0
Creb3l4,Mxd1,0.0
Creb3l4,Rfk,0.0
Creb3l4,Serinc2,0.0
Creb3l4,Serpinb1a,0.0
Creb3l4,Slc12a8,0.0
Creb3l4,Styk1,0.0
Creb3l4,Sytl2,0.0
Creb3l4,Tmc5,0.0
Degs2,Lass6,0.0
Degs2,Elf3,0.0
Dsg2,Nr5a2,0.0
Edn2,Lass6,0.0
Edn2,Elf3,0.0
Elf3,Cgn,0.0
Elf3,Cnnm4,0.0
Elf3,Coro1b,0.0
Elf3,Cs,0.0
Elf3,Elovl7,0.0
Elf3,Erbb2,0.0
Elf3,Espn,0.0
Elf3,Galnt12,0.0
Elf3,Galnt3,0.0
Elf3,Galnt7,0.0
Elf3,Gipc2,0.0
Elf3,Glod5,0.0
Elf3,Gmds,0.0
Elf3,Gna11,0.0
Elf3,Golm1,0.0
Elf3,Gpa33,0.0
Elf3,Gpx2,0.0
Elf3,Kcnn4,0.0
Elf3,L1cam,0.0
Elf3,Metrnl,0.0
Elf3,Mfsd4,0.0
Elf3,Mgat4a,0.0
Elf3,Mxd1,0.0
Elf3,Pglyrp1,0.0
Elf3,Plekha7,0.0
Elf3,Plekhb2,0.0
Elf3,Pllp,0.0
Elf3,Rfk,0.0
Elf3,Serinc2,0.0
Elf3,Slc35c1,0.0
Elf3,Tmc5,0.0
Elf3,Tmem102,0.0
Elf3,Tmem20,0.0
Elf3,Zdhhc13,0.0
Elmo3,Ezh1,0.0
Elmo3,Irf6,0.0
Elovl7,Irf6,0.0
Epcam,Irf6,0.0
Eps8l2,Zfp639,0.0
Eps8l2,Irf6,0.0
Erbb2,Cux1,0.0
Erbb3,Irf6,0.0
F2rl1,Irf6,0.0
Fam83h,Irf6,0.0
Fbxo25,Lass6,0.0
Frk,Lass6,0.0
Frk,Irf6,0.0
Galnt3,Lass6,0.0
Galnt7,Lass6,0.0
Gipc2,Irf6,0.0
Glod5,Lass6,0.0
Gmds,Lass6,0.0
Gmds,Irf6,0.0
Gpa33,Lass6,0.0
Gpa33,Irf6,0.0
Grb7,Irf6,0.0
Irf6,1190003J15Rik,0.0
Irf6,Atp11b,0.0
Irf6,Camsap3,0.0
Irf6,Cdc42bpg,0.0
Irf6,Gale,0.0
Irf6,Grtp1,0.0
Irf6,Mansc1,0.0
Irf6,Myo6,0.0
Irf6,Smagp,0.0
Lgals4,Lass6,0.0
Mgat4a,Lass6,0.0
Myh14,Zscan12,0.0
Myo6,Clock,0.0
Plekha6,Zfp263,0.0
Prr15l,Mlxip,0.0
Slc12a8,Lass6,0.0
Styk1,Lass6,0.0
Tmc4,Mlxip,0.0
Tmc5,Lass6,0.0
Phf5a,Cbx1,0.0
Phf5a,Cdca7,0.0
Phf5a,Cse1l,0.0
Phf5a,Ddx39,0.0
Phf5a,Dnajc9,0.0
Phf5a,Eif3g,0.0
Phf5a,Iws1,0.0
