Source,Target,PValue
Ehf,Pgrmc1,0.0
Ehf,Fads1,0.0
Ehf,Tmem150a,0.0
Ehf,Slc38a4,0.0
Ehf,St3gal5,0.0
Ehf,0610040J01Rik,0.0
Ehf,1110017F19Rik,0.0
Ehf,1600029D21Rik,0.0
Ehf,1810019D21Rik,0.0
Ehf,1810019J16Rik,0.0
Ehf,1810030J14Rik,0.0
Ehf,1810065E05Rik,0.0
Ehf,2010001M06Rik,0.0
Ehf,2010300C02Rik,0.0
Ehf,2200002D01Rik,0.0
Ehf,2310007B03Rik,0.0
Ehf,2310030G06Rik,0.0
Ehf,2510049J12Rik,0.0
Ehf,2610528A11Rik,0.0
Ehf,2610528J11Rik,0.0
Ehf,5033414D02Rik,0.0
Ehf,5730559C18Rik,0.0
Ehf,8430427H17Rik,0.0
Ehf,9130017N09Rik,0.0
Ehf,9130208D14Rik,0.0
Ehf,9130409J20Rik,0.0
Ehf,AA467197,0.0
Ehf,AA986860,0.0
Ehf,Abp1,0.0
Ehf,Ace2,0.0
Ehf,Acer1,0.0
Ehf,Acvr1b,0.0
Ehf,Adamdec1,0.0
Ehf,Agr2,0.0
Ehf,AI661453,0.0
Ehf,Akr1c19,0.0
Ehf,Ang4,0.0
Ehf,Anks4b,0.0
Ehf,Ano9,0.0
Ehf,Anxa13,0.0
Ehf,Ap1m2,0.0
Ehf,Aqp4,0.0
Ehf,Areg,0.0
Ehf,Arhgef16,0.0
Ehf,Arhgef5,0.0
Ehf,Arl14,0.0
Ehf,Atoh1,0.0
Ehf,Atp10b,0.0
Ehf,Atp2c2,0.0
Ehf,Atp8b1,0.0
Ehf,B4galnt2,0.0
Ehf,Baiap2l1,0.0
Ehf,BC016579,0.0
Ehf,BC030870,0.0
Ehf,Bcas1,0.0
Ehf,Bspry,0.0
Ehf,C77080,0.0
Ehf,Calml4,0.0
Ehf,Capn9,0.0
Ehf,Car4,0.0
Ehf,Casp1,0.0
Ehf,Cblc,0.0
Ehf,Ccdc64b,0.0
Ehf,Ccdc68,0.0
Ehf,Ccl28,0.0
Ehf,Cd177,0.0
Ehf,Cdcp1,0.0
Ehf,Cdh1,0.0
Ehf,Cdh17,0.0
Ehf,Cdhr2,0.0
Ehf,Cdhr5,0.0
Ehf,Cds1,0.0
Ehf,Cdx1,0.0
Ehf,Ceacam1,0.0
Ehf,Ceacam10,0.0
Ehf,Ceacam20,0.0
Ehf,Ces2b,0.0
Ehf,Cftr,0.0
Ehf,Chmp4c,0.0
Ehf,Chst4,0.0
Ehf,Ckmt1,0.0
Ehf,Clca3,0.0
Ehf,Clca4,0.0
Ehf,Clca6,0.0
Ehf,Cldn15,0.0
Ehf,Cldn23,0.0
Ehf,Cldn3,0.0
Ehf,Cldn4,0.0
Ehf,Cldn7,0.0
Ehf,Cldn8,0.0
Ehf,Clec2h,0.0
Ehf,Clic6,0.0
Ehf,Clrn3,0.0
Ehf,Cnksr1,0.0
Ehf,Coro2a,0.0
Ehf,Crb3,0.0
Ehf,Cyb561,0.0
Ehf,Cyp2s1,0.0
Ehf,Dennd2d,0.0
Ehf,Dmbt1,0.0
Ehf,Dpep1,0.0
Ehf,Dsg2,0.0
Ehf,Dsp,0.0
Ehf,Elmo3,0.0
Ehf,Elovl7,0.0
Ehf,Endod1,0.0
Ehf,Epcam,0.0
Ehf,Eps8,0.0
Ehf,Eps8l2,0.0
Ehf,Eps8l3,0.0
Ehf,Erbb2,0.0
Ehf,Erbb3,0.0
Ehf,Ern2,0.0
Ehf,Esrp1,0.0
Ehf,Esrp2,0.0
Ehf,Exph5,0.0
Ehf,F2rl1,0.0
Ehf,Fam3b,0.0
Ehf,Fam83e,0.0
Ehf,Fam83h,0.0
Ehf,Fbp2,0.0
Ehf,Fbxo25,0.0
Ehf,Fcgbp,0.0
Ehf,Frk,0.0
Ehf,Fut4,0.0
Ehf,Fxyd3,0.0
Ehf,Gal3st1,0.0
Ehf,Galnt12,0.0
Ehf,Galnt3,0.0
Ehf,Galnt7,0.0
Ehf,Gcg,0.0
Ehf,Gcnt3,0.0
Ehf,Ggt6,0.0
Ehf,Gipc2,0.0
Ehf,Glod5,0.0
Ehf,Glt28d2,0.0
Ehf,Gm1123,0.0
Ehf,Gm11545,0.0
Ehf,Gm13648,0.0
Ehf,Gm14446,0.0
Ehf,Gm3336,0.0
Ehf,Gm5480,0.0
Ehf,Gmds,0.0
Ehf,Golm1,0.0
Ehf,Gpa33,0.0
Ehf,Gpr160,0.0
Ehf,Gpx2,0.0
Ehf,Grb7,0.0
Ehf,Gsdmc,0.0
Ehf,Gsdmc2,0.0
Ehf,Guca2a,0.0
Ehf,Gucy2c,0.0
Ehf,Hepacam2,0.0
Ehf,Hnf4g,0.0
Ehf,Hsd11b2,0.0
Ehf,Hsd17b2,0.0
Ehf,Igsf5,0.0
Ehf,Ihh,0.0
Ehf,Il28ra,0.0
Ehf,Ildr1,0.0
Ehf,Itgb4,0.0
Ehf,Kcne3,0.0
Ehf,Kcnk1,0.0
Ehf,Kcnn4,0.0
Ehf,Kcnq1,0.0
Ehf,Klk1,0.0
Ehf,Krt7,0.0
Ehf,Krt8,0.0
Ehf,L1cam,0.0
Ehf,Lamb3,0.0
Ehf,Lgals12,0.0
Ehf,Llgl2,0.0
Ehf,Lrrc26,0.0
Ehf,Lrrc66,0.0
Ehf,Mal2,0.0
Ehf,Mansc1,0.0
Ehf,Mep1a,0.0
Ehf,Mfsd4,0.0
Ehf,Mfsd6,0.0
Ehf,Mgam,0.0
Ehf,Mgat4a,0.0
Ehf,Mgat4c,0.0
Ehf,Mkrn1,0.0
Ehf,Muc4,0.0
Ehf,Mxd1,0.0
Ehf,Myh11,0.0
Ehf,Myh14,0.0
Ehf,Myo15b,0.0
Ehf,Myo1d,0.0
Ehf,Myo5b,0.0
Ehf,Myo5c,0.0
